id,title,type,release_year,runtime,genres,seasons,imdb_score,tmdb_score
ts41995,Zumbo's Just Desserts,SHOW,2016,50,['reality'],2.0,6.9,"6,063"
tm230524,"ChatÃ´, The King of Brazil",MOVIE,2015,100,"['drama', 'comedy']",,6.0,"4,896"
tm271333,The Third Party,MOVIE,2016,118,"['romance', 'comedy']",,6.1,5.6
tm211510,Incarnate,MOVIE,2016,91,"['thriller', 'horror']",,5.3,5.4
tm195764,6 Years,MOVIE,2015,84,"['drama', 'romance']",,5.6,5.4
tm239769,I'll Sleep When I'm Dead,MOVIE,2016,82,['documentation'],,6.6,6.4
ts38717,Good Morning Call,SHOW,2016,48,"['comedy', 'drama', 'romance']",2.0,7.5,"6,895"
ts38116,Mobile Suit Gundam: Iron-Blooded Orphans,SHOW,2015,24,"['war', 'action', 'scifi', 'animation', 'drama']",2.0,7.9,6.9
tm139590,Triumph in the Skies,MOVIE,2015,100,['drama'],,4.3,4.2
tm233360,Sand Storm,MOVIE,2016,87,['drama'],,6.8,"5,917"
tm233843,Pyaar Ka Punchnama 2,MOVIE,2015,159,"['drama', 'comedy', 'romance']",,7.3,"6,921"
tm244513,Divines,MOVIE,2016,105,"['drama', 'crime', 'european']",,7.4,7.7
tm245102,The Next Skin,MOVIE,2016,100,"['drama', 'thriller', 'european']",,6.2,"5,855"
tm228839,Ali Baba and the 7 Dwarfs,MOVIE,2015,114,"['comedy', 'action', 'drama']",,5.6,"5,073"
ts38758,Ajin,SHOW,2016,23,"['animation', 'action', 'thriller', 'drama', 'horror', 'fantasy', 'scifi']",2.0,7.6,"8,128"
tm219817,Talvar,MOVIE,2015,127,"['thriller', 'crime', 'drama']",,8.1,"7,496"
tm253083,Blue Jay,MOVIE,2016,80,"['drama', 'romance']",,7.3,7.0
tm230551,Ip Man 3,MOVIE,2015,105,"['drama', 'history', 'action']",,7.0,"6,975"
tm135106,In a Valley of Violence,MOVIE,2016,104,"['western', 'action', 'drama', 'thriller', 'crime']",,6.1,6.1
tm232090,Snervous Tyler Oakley,MOVIE,2015,82,['documentation'],,5.5,5.7
tm239762,Tony Robbins: I Am Not Your Guru,MOVIE,2016,115,['documentation'],,6.6,6.6
tm554110,The CEO,MOVIE,2016,105,"['thriller', 'drama']",,5.8,2.0
tm136257,Beasts of No Nation,MOVIE,2015,137,"['drama', 'war']",,7.7,"7,582"
tm228677,The Space Between Us,MOVIE,2016,120,"['drama', 'romance', 'scifi']",,6.4,7.1
tm252609,'76,MOVIE,2016,118,"['drama', 'romance']",,5.5,5.8
ts55559,Ask the Storybots,SHOW,2016,26,"['animation', 'comedy', 'family']",3.0,8.5,7.4
ts42156,Degrassi: Next Class,SHOW,2016,24,"['drama', 'romance']",6.0,6.9,"6,809"
ts38757,Kong: King of the Apes,SHOW,2016,21,"['animation', 'comedy', 'family', 'scifi', 'action']",2.0,5.8,6.2
ts154625,DÃ©rapages,SHOW,2015,53,"['drama', 'thriller']",2.0,7.6,"6,667"
tm239707,The Do-Over,MOVIE,2016,108,"['action', 'comedy']",,5.7,5.7
ts35406,Between,SHOW,2015,31,"['scifi', 'drama', 'thriller']",2.0,5.9,"5,727"
tm236999,Our Lovers,MOVIE,2016,92,"['drama', 'comedy', 'romance', 'european']",,6.7,7.2
tm193388,Dhanak,MOVIE,2016,106,"['drama', 'comedy']",,7.9,7.3
tm239764,David Cross: Making America Great Again,MOVIE,2016,74,['comedy'],,6.6,"6,525"
tm234466,Jonah,MOVIE,2016,97,"['drama', 'thriller', 'romance', 'family']",,5.4,6.0
ts35987,Transformers: Robots In Disguise,SHOW,2015,21,"['animation', 'scifi', 'action', 'comedy']",5.0,6.0,"7,542"
tm234586,Visaranai,MOVIE,2015,117,"['drama', 'thriller', 'crime']",,8.5,"7,981"
tm276430,Servant Of The People 2,MOVIE,2016,100,"['comedy', 'family']",,6.2,"6,421"
tm272666,The Unmarried Wife,MOVIE,2016,130,"['drama', 'romance']",,6.1,6.5
tm134516,"Crouching Tiger, Hidden Dragon: Sword of Destiny",MOVIE,2016,96,"['drama', 'fantasy', 'action']",,6.1,6.11
ts38772,Dear My Friends,SHOW,2016,70,"['comedy', 'drama']",1.0,8.2,6.9
tm233521,Other People,MOVIE,2016,97,"['drama', 'comedy']",,6.8,"6,357"
tm375681,S Storm,MOVIE,2016,90,"['thriller', 'crime', 'action', 'drama']",,5.2,"5,531"
tm272854,Force 2,MOVIE,2016,123,"['crime', 'action', 'thriller']",,6.2,6.7
tm245042,Budhia Singh: Born to Run,MOVIE,2016,112,"['drama', 'sport']",,7.6,"6,273"
tm205812,The Siege of Jadotville,MOVIE,2016,108,"['drama', 'history', 'thriller', 'war', 'action', 'european']",,7.2,7.2
tm299230,"Beard, Hair & Stache",MOVIE,2016,120,['documentation'],,7.4,
ts42075,Intersection,SHOW,2016,101,['drama'],2.0,6.6,"5,563"
tm233616,LEGO Marvel Super Heroes: Avengers Reassembled!,MOVIE,2015,22,"['family', 'animation', 'scifi', 'action', 'comedy']",,6.1,6.5
tm236725,My Beautiful Broken Brain,MOVIE,2016,84,['documentation'],,7.1,7.1
tm228242,A Very Murray Christmas,MOVIE,2015,56,"['comedy', 'music']",,5.5,5.3
tm236705,Ricardo O'Farrill: Abrazo Genial,MOVIE,2016,92,['comedy'],,5.5,4.7
ts38809,The Get Down,SHOW,2016,61,"['drama', 'music']",2.0,8.2,"7,366"
tm157283,GÃ¼eros,MOVIE,2015,106,"['comedy', 'drama']",,7.5,7.5
tm236659,Sky Ladder: The Art of Cai Guo-Qiang,MOVIE,2016,80,['documentation'],,7.3,7.0
tm233344,Kapoor & Sons,MOVIE,2016,140,"['romance', 'comedy', 'drama', 'family']",,7.7,7.0
tm244577,Love O2O,MOVIE,2016,105,"['drama', 'romance']",,6.4,6.9
ts38770,Lady Dynamite,SHOW,2016,30,"['comedy', 'drama']",2.0,7.3,7.3
tm274053,Asperger's Are Us,MOVIE,2016,83,"['documentation', 'comedy', 'drama']",,6.6,5.6
tm147082,"What Happened, Miss Simone?",MOVIE,2015,101,"['music', 'documentation']",,7.6,"7,483"
tm224377,Heneral Luna,MOVIE,2015,118,"['comedy', 'drama', 'action', 'history', 'war']",,7.3,7.6
tm239635,Jimmy Carr: Funny Business,MOVIE,2016,62,['comedy'],,7.2,6.9
tm206512,Circle,MOVIE,2015,87,"['thriller', 'drama', 'horror', 'scifi', 'european']",,6.0,"6,043"
tm230426,"Liar, Liar, Vampire",MOVIE,2015,69,"['comedy', 'family']",,5.7,7.1
tm244880,I Am the Pretty Thing That Lives in the House,MOVIE,2016,89,"['drama', 'horror', 'thriller']",,4.6,4.47
ts53543,The Miracle,SHOW,2016,18,"['drama', 'comedy', 'fantasy', 'music']",1.0,6.2,"6,333"
tm183176,A Second Chance,MOVIE,2015,90,"['drama', 'family', 'sport']",,4.7,"6,185"
tm246485,U Turn,MOVIE,2016,120,"['thriller', 'crime', 'horror', 'drama']",,7.5,"6,771"
tm243849,Extremis,MOVIE,2016,24,['documentation'],,,7.1
ts43258,Stories by Rabindranath Tagore,SHOW,2015,43,['drama'],1.0,8.7,7.3
tm123789,The Young Messiah,MOVIE,2016,111,"['drama', 'fantasy']",,5.7,"6,401"
tm233196,Jessica Darling's It List,MOVIE,2016,79,['family'],,5.4,5.9
tm232954,Audrie & Daisy,MOVIE,2016,98,"['documentation', 'crime']",,7.2,7.2
ts35775,Wet Hot American Summer: First Day of Camp,SHOW,2015,29,['comedy'],2.0,7.3,"6,395"
ts38805,Beat Bugs,SHOW,2016,15,"['animation', 'comedy', 'family', 'fantasy']",3.0,7.6,5.6
tm270555,The Ivory Game,MOVIE,2016,112,"['documentation', 'european']",,7.9,7.6
tm219276,Tallulah,MOVIE,2016,111,"['drama', 'comedy', 'romance']",,6.7,6.7
ts38568,Flaked,SHOW,2016,32,"['drama', 'comedy', 'romance']",2.0,7.2,"6,797"
tm247642,Amanda Knox,MOVIE,2016,92,"['crime', 'documentation', 'european']",,6.9,6.7
ts54100,World of Winx,SHOW,2016,24,"['animation', 'action', 'comedy', 'family', 'fantasy', 'european']",2.0,6.7,8.0
ts39017,Dawn of the Croods,SHOW,2015,23,"['comedy', 'action', 'animation', 'family']",4.0,5.8,7.7
ts54022,Terrace House: Aloha State,SHOW,2016,36,"['reality', 'drama']",4.0,7.5,7.4
ts38512,Cooked,SHOW,2016,53,['documentation'],1.0,7.6,7.3
tm233465,The Bye Bye Man,MOVIE,2016,96,"['horror', 'thriller', 'fantasy', 'drama']",,4.3,5.2
tm244638,Rebirth,MOVIE,2016,101,['thriller'],,5.0,4.7
ts55556,A Touch of Green,SHOW,2015,46,"['drama', 'war']",1.0,8.3,8.1
tm245378,Barry,MOVIE,2016,104,['drama'],,6.0,5.8
tm201365,Brothers,MOVIE,2015,155,"['drama', 'action', 'sport']",,6.4,6.5
tm239290,Always Be My Maybe,MOVIE,2016,112,"['romance', 'comedy']",,6.6,"6,577"
tm232855,Everything About Her,MOVIE,2016,126,"['comedy', 'drama']",,7.2,8.1
ts86021,Molang,SHOW,2015,4,"['animation', 'comedy', 'family', 'european']",3.0,8.3,6.2
tm238661,Special Correspondents,MOVIE,2016,100,['comedy'],,5.9,"5,732"
tm233533,White Girl,MOVIE,2016,88,"['drama', 'horror', 'crime']",,5.7,"5,702"
ts52829,Paranoid,SHOW,2016,44,"['thriller', 'crime', 'drama', 'european']",1.0,6.6,"6,383"
tm225693,Keith Richards: Under the Influence,MOVIE,2015,82,"['music', 'documentation']",,7.1,6.7
ts53155,Crazyhead,SHOW,2016,43,"['comedy', 'horror', 'scifi', 'european']",1.0,7.2,6.7
tm214085,Tig,MOVIE,2015,95,['documentation'],,7.4,7.2
ts35360,Inspector Gadget,SHOW,2015,22,"['action', 'animation', 'comedy', 'family', 'scifi']",4.0,4.5,6.1
ts43119,Real Rob,SHOW,2015,31,['comedy'],2.0,6.4,6.4
ts36630,Dinotrux,SHOW,2015,23,"['animation', 'action', 'comedy', 'family', 'scifi']",5.0,6.8,6.9
ts53106,Tokyo Trial,SHOW,2016,48,"['drama', 'history']",1.0,7.4,"6,409"
ts35463,Richie Rich,SHOW,2015,23,"['drama', 'family', 'comedy']",2.0,3.2,"6,074"
tm267135,The Dreamseller,MOVIE,2016,93,['drama'],,6.0,"6,462"
tm211478,Tamasha,MOVIE,2015,139,"['romance', 'comedy', 'drama']",,7.3,6.6
ts54110,Puffin Rock,SHOW,2015,11,"['family', 'comedy', 'animation', 'european']",2.0,8.7,"7,143"
ts36740,Project McÂ²,SHOW,2015,25,['family'],6.0,6.1,7.91
tm229542,John Mulaney: The Comeback Kid,MOVIE,2015,62,"['comedy', 'documentation']",,7.9,7.7
tm247767,Kiss of Life,MOVIE,2015,102,"['comedy', 'romance', 'drama']",,5.9,4.4
tm279828,Vince & Kath & James,MOVIE,2016,116,['romance'],,6.8,6.4
ts53346,Chasing Cameron,SHOW,2016,28,['reality'],1.0,3.7,4.3
tm242736,Bo Burnham: Make Happy,MOVIE,2016,60,"['comedy', 'music', 'documentation']",,8.4,8.1
ts74753,Tales by Light,SHOW,2015,28,['documentation'],3.0,8.2,"7,526"
ts42155,Home: Adventures with Tip & Oh,SHOW,2016,20,"['family', 'animation', 'comedy', 'fantasy', 'scifi']",4.0,6.2,7.1
ts43272,Terrace House: Boys & Girls in the City,SHOW,2015,28,"['reality', 'drama']",1.0,8.1,7.4
tm209950,Kevin Hart: What Now?,MOVIE,2016,96,"['comedy', 'documentation']",,5.9,"6,534"
tm193211,Mucize,MOVIE,2015,136,"['drama', 'comedy', 'romance', 'documentation', 'european']",,7.6,7.2
tm239683,Team Foxcatcher,MOVIE,2016,91,"['documentation', 'crime', 'history', 'sport']",,7.3,7.1
tm245235,Ali Wong: Baby Cobra,MOVIE,2016,60,['comedy'],,7.5,"7,286"
ts35505,Old Money,SHOW,2015,47,"['comedy', 'drama', 'european']",1.0,7.3,"5,964"
ts21979,Spotless,SHOW,2015,58,"['drama', 'comedy', 'crime', 'european']",1.0,7.7,"6,769"
tm290157,XV Beyond the Tryline,MOVIE,2016,91,"['documentation', 'sport']",,7.0,7.5
ts39014,Kuromukuro,SHOW,2016,24,"['animation', 'comedy', 'drama', 'thriller', 'action', 'scifi']",2.0,7.2,"6,776"
tm239947,Mercy,MOVIE,2016,82,"['thriller', 'drama']",,4.2,4.2
ts42347,Word Party,SHOW,2016,13,"['animation', 'family']",5.0,5.6,7.5
tm195870,Manson Family Vacation,MOVIE,2015,85,"['thriller', 'drama', 'comedy']",,5.8,5.8
